user_id,age,location_type,state,mobile_txn_count_6m,avg_txn_amount,txn_regularity_score,utility_consistency,has_electricity_payment,education_level,skills_completed,savings_rate_proxy,app_engagement_score,is_smallholder,farm_size_proxy,yield_risk_score,creditworthy_label,true_risk_score
AFRI_000036,30,Rural,Other,272,42413.0,1.0,0.299,1,0,1,0.211,0.656,1,7.9,0.524,0,490
AFRI_000037,44,Semi-Urban,Lagos,107,3102.0,0.734,0.728,1,2,2,0.162,0.998,0,0.0,0.5,0,456
AFRI_000038,31,Urban,Other,192,27869.0,0.462,0.837,1,1,7,0.085,0.71,0,0.0,0.5,0,581
AFRI_000039,35,Rural,Other,63,43607.0,0.734,0.556,1,2,1,0.525,0.749,1,5.3,0.462,0,454
AFRI_000040,19,Urban,Abuja,185,21115.0,0.703,0.798,1,2,3,0.365,0.683,0,0.0,0.5,1,500
AFRI_000041,19,Urban,Ibadan,254,26715.0,0.837,0.226,1,2,10,0.264,0.531,0,0.0,0.5,0,461
AFRI_000042,20,Rural,Kano,174,30539.0,0.67,0.575,0,1,11,0.192,0.695,0,0.0,0.5,0,543
AFRI_000043,31,Urban,Enugu,97,15859.0,0.637,0.62,1,2,7,0.207,0.668,0,0.0,0.5,0,528
AFRI_000044,37,Urban,Enugu,136,41696.0,0.888,0.508,1,2,9,0.289,0.769,0,0.0,0.5,1,629
AFRI_000045,30,Rural,Abuja,313,24669.0,0.604,0.481,1,0,0,0.033,0.749,0,0.0,0.5,0,395
AFRI_000046,26,Semi-Urban,Abuja,130,26913.0,0.822,1.0,1,2,9,0.115,0.447,0,0.0,0.5,1,725
AFRI_000047,41,Semi-Urban,Other,238,42116.0,0.713,0.2,1,0,1,0.226,0.552,0,0.0,0.5,0,373
AFRI_000048,23,Urban,Enugu,239,41407.0,1.0,0.664,1,2,10,0.02,0.813,0,0.0,0.5,1,669
AFRI_000049,39,Semi-Urban,Lagos,221,23581.0,0.667,0.613,1,1,4,0.312,0.712,0,0.0,0.5,1,358
AFRI_000050,23,Urban,Lagos,29,25364.0,0.498,0.731,1,0,2,0.353,0.857,0,0.0,0.5,0,537
AFRI_000051,40,Semi-Urban,Kano,104,41935.0,0.817,0.547,1,1,2,0.242,0.777,0,0.0,0.5,0,485
AFRI_000052,20,Urban,Lagos,24,11753.0,0.884,0.734,1,2,1,0.19,0.957,0,0.0,0.5,0,280
AFRI_000053,23,Semi-Urban,Enugu,82,23368.0,0.809,0.632,1,2,7,0.249,0.419,0,0.0,0.5,0,423
AFRI_000054,36,Urban,Other,24,39720.0,1.0,0.673,1,3,8,0.089,0.555,0,0.0,0.5,1,557
AFRI_000055,44,Semi-Urban,Enugu,127,37225.0,0.701,0.465,1,0,2,0.39,0.62,0,0.0,0.5,0,370
AFRI_000056,21,Semi-Urban,Port Harcourt,318,27558.0,0.538,0.53,1,1,10,0.254,0.496,0,0.0,0.5,1,549
AFRI_000057,32,Semi-Urban,Enugu,190,42047.0,1.0,0.81,1,2,9,0.148,0.957,0,0.0,0.5,1,590
AFRI_000058,21,Urban,Other,332,15948.0,0.56,0.52,1,1,4,0.349,0.599,0,0.0,0.5,1,332
AFRI_000059,28,Rural,Lagos,410,16592.0,0.69,1.0,0,1,2,0.277,0.419,0,0.0,0.5,1,700
AFRI_000060,43,Urban,Ibadan,58,9245.0,0.606,0.644,1,2,0,0.115,0.404,0,0.0,0.5,0,350
AFRI_000061,34,Urban,Kano,305,37891.0,0.453,0.834,1,2,5,0.02,0.474,0,0.0,0.5,0,558
AFRI_000062,18,Urban,Port Harcourt,74,42656.0,0.497,0.509,1,1,6,0.189,0.905,0,0.0,0.5,0,409
AFRI_000063,40,Semi-Urban,Lagos,63,16258.0,0.923,0.718,1,2,2,0.318,0.531,0,0.0,0.5,0,502
AFRI_000064,21,Rural,Kano,201,10417.0,0.857,0.612,0,0,2,0.26,0.875,1,7.3,0.1,1,432
AFRI_000065,40,Urban,Lagos,270,16516.0,0.946,0.542,1,1,9,0.37,0.606,0,0.0,0.5,1,589
AFRI_000066,31,Semi-Urban,Port Harcourt,243,19997.0,0.949,1.0,1,0,2,0.301,0.512,0,0.0,0.5,1,578
AFRI_000067,22,Urban,Enugu,165,24540.0,0.862,0.678,0,1,5,0.383,0.621,0,0.0,0.5,1,645
AFRI_000068,42,Semi-Urban,Other,182,37958.0,1.0,0.989,1,1,5,0.161,0.644,0,0.0,0.5,1,463
AFRI_000069,38,Rural,Ibadan,20,16972.0,0.855,0.465,1,1,7,0.346,0.728,0,0.0,0.5,0,375
AFRI_000070,44,Semi-Urban,Port Harcourt,210,35035.0,0.772,0.672,1,1,6,0.432,0.897,0,0.0,0.5,0,564
AFRI_000071,29,Semi-Urban,Other,235,34490.0,1.0,0.963,1,2,7,0.303,0.697,0,0.0,0.5,1,699
AFRI_000072,40,Semi-Urban,Enugu,95,41324.0,0.787,0.778,1,3,1,0.194,0.968,0,0.0,0.5,0,627
AFRI_000073,41,Urban,Port Harcourt,197,22426.0,0.984,0.698,1,1,6,0.342,0.788,0,0.0,0.5,0,515
AFRI_000074,35,Semi-Urban,Abuja,117,11634.0,0.938,0.837,1,3,3,0.226,0.705,0,0.0,0.5,1,443
AFRI_000075,42,Semi-Urban,Ibadan,74,11887.0,0.852,0.614,1,1,4,0.123,0.703,0,0.0,0.5,0,554
AFRI_000076,29,Rural,Lagos,312,35706.0,0.57,0.644,1,3,10,0.121,0.692,0,0.0,0.5,1,585
AFRI_000077,36,Semi-Urban,Lagos,116,9179.0,0.858,0.543,1,1,4,0.153,0.473,0,0.0,0.5,0,636
AFRI_000078,34,Urban,Ibadan,438,34483.0,0.835,0.497,1,1,7,0.277,0.283,0,0.0,0.5,1,605
AFRI_000079,20,Rural,Abuja,351,3041.0,0.433,0.791,1,1,11,0.196,0.448,1,4.2,0.267,1,596
AFRI_000080,34,Urban,Other,320,22406.0,0.967,0.755,1,2,10,0.269,0.831,0,0.0,0.5,1,702
AFRI_000081,18,Urban,Enugu,323,32314.0,0.84,0.869,1,2,5,0.243,0.68,0,0.0,0.5,1,694
AFRI_000082,40,Urban,Lagos,169,16078.0,0.626,0.789,1,2,11,0.243,0.719,0,0.0,0.5,0,623
AFRI_000083,41,Rural,Other,83,20302.0,0.687,0.924,0,2,5,0.241,0.788,0,0.0,0.5,1,427
AFRI_000084,39,Semi-Urban,Abuja,202,4020.0,1.0,0.517,1,1,10,0.166,0.924,0,0.0,0.5,1,623
AFRI_000085,40,Urban,Other,235,44875.0,0.489,0.2,0,2,10,0.355,0.959,0,0.0,0.5,0,406
AFRI_000086,38,Rural,Lagos,93,18795.0,0.912,0.635,0,1,0,0.07,0.984,1,4.0,0.536,0,478
AFRI_000087,37,Urban,Kano,190,41165.0,0.831,1.0,0,2,8,0.4,0.794,0,0.0,0.5,1,708
AFRI_000088,25,Urban,Enugu,224,8007.0,0.441,1.0,1,3,5,0.174,0.904,0,0.0,0.5,0,617
AFRI_000089,25,Semi-Urban,Kano,198,6064.0,0.836,0.679,1,2,9,0.081,0.722,0,0.0,0.5,1,532
AFRI_000090,24,Urban,Ibadan,378,10237.0,0.944,0.882,0,2,7,0.286,0.976,0,0.0,0.5,1,734
AFRI_000091,35,Rural,Other,187,28701.0,0.634,0.794,1,2,3,0.377,0.967,0,0.0,0.5,1,675
AFRI_000092,29,Urban,Enugu,416,22349.0,0.667,0.337,1,2,6,0.347,0.603,0,0.0,0.5,1,496
AFRI_000093,41,Rural,Abuja,140,5046.0,0.966,0.379,1,1,6,0.163,0.917,1,6.1,0.422,0,403
AFRI_000094,29,Semi-Urban,Enugu,171,25134.0,1.0,0.771,0,1,3,0.024,0.601,0,0.0,0.5,1,525
AFRI_000095,29,Urban,Enugu,37,28973.0,0.637,0.767,1,3,6,0.054,0.984,0,0.0,0.5,0,516
AFRI_000096,23,Semi-Urban,Abuja,337,5737.0,1.0,0.318,1,2,6,0.177,0.497,0,0.0,0.5,0,687
AFRI_000097,25,Semi-Urban,Ibadan,183,43687.0,0.47,0.62,0,1,9,0.454,0.598,0,0.0,0.5,0,392
AFRI_000098,25,Semi-Urban,Enugu,20,12485.0,0.517,0.347,1,1,11,0.366,0.693,0,0.0,0.5,0,477
AFRI_000099,32,Semi-Urban,Ibadan,270,6369.0,0.737,0.672,1,3,0,0.204,0.513,0,0.0,0.5,1,598
AFRI_000100,34,Semi-Urban,Ibadan,31,7953.0,0.915,0.756,1,2,1,0.271,0.313,0,0.0,0.5,0,489
AFRI_000101,38,Urban,Ibadan,273,8293.0,0.895,0.412,1,1,1,0.3,0.612,0,0.0,0.5,1,543
AFRI_000102,44,Rural,Lagos,298,27627.0,0.901,1.0,1,1,5,0.316,0.634,1,6.1,0.385,1,661
AFRI_000103,23,Urban,Port Harcourt,121,20560.0,0.609,0.854,1,1,6,0.173,0.467,0,0.0,0.5,0,388
AFRI_000104,42,Semi-Urban,Ibadan,233,17736.0,1.0,1.0,1,1,2,0.341,0.828,0,0.0,0.5,1,616
AFRI_000105,32,Semi-Urban,Abuja,290,18655.0,0.537,1.0,1,2,4,0.259,0.854,0,0.0,0.5,1,611
AFRI_000106,32,Urban,Port Harcourt,160,16796.0,0.739,0.673,1,1,10,0.106,0.721,0,0.0,0.5,1,441
AFRI_000107,35,Urban,Ibadan,86,19489.0,0.779,0.65,1,1,6,0.201,0.89,0,0.0,0.5,0,393
AFRI_000108,39,Semi-Urban,Abuja,182,29042.0,0.723,0.707,1,3,8,0.285,0.82,0,0.0,0.5,1,558
AFRI_000109,27,Rural,Abuja,227,25714.0,0.555,0.491,1,3,6,0.093,0.582,1,3.9,0.52,0,542
AFRI_000110,20,Rural,Kano,180,10928.0,0.97,1.0,1,1,8,0.258,0.71,0,0.0,0.5,1,737
AFRI_000111,39,Urban,Kano,250,2188.0,0.938,0.566,1,1,6,0.13,0.875,0,0.0,0.5,1,690
AFRI_000112,26,Urban,Enugu,398,16445.0,0.566,1.0,1,2,11,0.248,0.414,0,0.0,0.5,1,761
AFRI_000113,39,Urban,Ibadan,67,15986.0,0.875,1.0,1,1,7,0.121,0.741,0,0.0,0.5,1,542
AFRI_000114,32,Urban,Ibadan,227,19312.0,0.975,0.614,0,1,7,0.156,0.443,0,0.0,0.5,1,608
AFRI_000115,42,Semi-Urban,Port Harcourt,93,28626.0,0.785,0.612,0,2,5,0.185,0.633,0,0.0,0.5,0,349
AFRI_000116,19,Rural,Abuja,350,37400.0,0.785,0.659,1,1,5,0.25,0.71,1,2.1,0.34,1,636
AFRI_000117,37,Rural,Ibadan,172,9048.0,0.858,0.452,1,2,8,0.378,0.573,0,0.0,0.5,1,455
AFRI_000118,33,Semi-Urban,Enugu,400,15313.0,0.804,0.504,1,2,3,0.262,0.756,0,0.0,0.5,1,678
AFRI_000119,28,Semi-Urban,Other,79,17369.0,0.667,0.932,0,1,10,0.02,0.833,0,0.0,0.5,1,442
AFRI_000120,26,Urban,Other,348,35547.0,0.437,0.511,1,2,3,0.153,0.418,0,0.0,0.5,1,547
AFRI_000121,24,Semi-Urban,Other,135,19109.0,1.0,0.4,1,1,6,0.381,0.877,0,0.0,0.5,1,496
AFRI_000122,44,Urban,Lagos,239,12802.0,0.719,0.56,1,1,4,0.267,0.789,0,0.0,0.5,1,493
AFRI_000123,34,Semi-Urban,Abuja,210,23221.0,0.672,0.529,0,3,11,0.165,0.917,0,0.0,0.5,1,670
AFRI_000124,27,Semi-Urban,Other,416,7292.0,0.808,0.744,1,2,0,0.132,0.693,0,0.0,0.5,1,743
AFRI_000125,44,Semi-Urban,Lagos,88,40189.0,0.969,0.902,0,3,6,0.204,0.666,0,0.0,0.5,1,608
AFRI_000126,30,Rural,Other,171,3047.0,0.668,0.2,1,3,3,0.242,0.839,0,0.0,0.5,1,559
AFRI_000127,27,Urban,Enugu,387,43602.0,0.879,0.899,1,1,1,0.129,0.67,0,0.0,0.5,1,621
AFRI_000128,35,Urban,Kano,173,14238.0,0.853,0.693,1,2,11,0.252,0.754,0,0.0,0.5,1,573
AFRI_000129,31,Urban,Enugu,133,42524.0,0.61,0.574,0,3,7,0.18,0.852,0,0.0,0.5,0,539
AFRI_000130,38,Semi-Urban,Lagos,158,44060.0,0.451,0.762,0,0,3,0.412,0.772,0,0.0,0.5,0,408
AFRI_000131,32,Urban,Abuja,69,10788.0,0.735,0.952,1,2,0,0.223,0.349,0,0.0,0.5,0,603
AFRI_000132,24,Semi-Urban,Port Harcourt,300,34609.0,0.862,0.65,0,1,4,0.073,0.642,0,0.0,0.5,1,570
AFRI_000133,19,Urban,Ibadan,29,33792.0,0.714,0.775,1,1,8,0.362,0.685,0,0.0,0.5,0,393
AFRI_000134,19,Semi-Urban,Enugu,39,15722.0,0.867,0.58,1,3,3,0.122,1.0,0,0.0,0.5,0,428
AFRI_000135,43,Urban,Abuja,211,28452.0,0.871,0.937,0,2,3,0.151,1.0,0,0.0,0.5,1,580
AFRI_000136,37,Semi-Urban,Ibadan,263,22667.0,0.693,1.0,0,1,2,0.407,0.678,0,0.0,0.5,1,627
AFRI_000137,21,Semi-Urban,Kano,192,7914.0,0.922,0.522,0,1,10,0.02,0.827,0,0.0,0.5,1,457
AFRI_000138,18,Urban,Kano,279,23083.0,0.94,0.8,1,2,6,0.107,1.0,0,0.0,0.5,1,603
AFRI_000139,35,Urban,Ibadan,116,2552.0,0.548,0.564,1,1,4,0.313,0.599,0,0.0,0.5,0,293
AFRI_000140,38,Semi-Urban,Kano,270,32212.0,0.3,0.573,1,3,7,0.237,0.881,0,0.0,0.5,1,569
AFRI_000141,42,Semi-Urban,Abuja,161,22035.0,0.552,0.47,1,3,5,0.106,0.93,0,0.0,0.5,0,429
AFRI_000142,21,Urban,Enugu,103,28457.0,0.663,0.251,1,2,5,0.314,0.757,0,0.0,0.5,0,474
AFRI_000143,27,Rural,Abuja,395,12817.0,0.767,0.855,0,2,2,0.069,0.768,1,1.9,0.417,1,628
AFRI_000144,39,Semi-Urban,Abuja,90,44152.0,0.661,0.373,1,2,0,0.121,0.726,0,0.0,0.5,0,280
AFRI_000145,38,Urban,Ibadan,31,38474.0,0.669,1.0,1,2,5,0.333,0.579,0,0.0,0.5,0,424
AFRI_000146,20,Urban,Port Harcourt,338,23131.0,0.902,0.6,1,2,3,0.046,0.728,0,0.0,0.5,1,639
AFRI_000147,26,Semi-Urban,Port Harcourt,303,35083.0,0.909,0.663,1,1,5,0.124,0.305,0,0.0,0.5,0,543
AFRI_000148,22,Rural,Enugu,287,24265.0,0.915,0.533,1,2,6,0.083,0.812,1,4.4,0.9,0,622
AFRI_000149,30,Rural,Ibadan,133,8845.0,0.549,1.0,0,1,11,0.242,0.605,1,7.8,0.686,0,616
AFRI_000150,18,Urban,Port Harcourt,394,6826.0,0.584,0.938,1,3,10,0.362,1.0,0,0.0,0.5,1,774
AFRI_000151,22,Rural,Kano,284,37129.0,1.0,0.757,1,1,11,0.02,0.595,0,0.0,0.5,1,705
AFRI_000152,43,Urban,Port Harcourt,165,37430.0,0.707,0.599,0,1,1,0.312,0.949,0,0.0,0.5,0,556
AFRI_000153,22,Rural,Kano,369,44091.0,0.587,0.751,1,1,7,0.276,0.519,1,1.0,0.394,0,563
AFRI_000154,32,Urban,Enugu,246,34697.0,0.828,1.0,1,1,8,0.158,0.831,0,0.0,0.5,1,646
AFRI_000155,44,Urban,Abuja,100,18455.0,0.707,0.391,1,0,2,0.15,0.608,0,0.0,0.5,0,362
AFRI_000156,40,Urban,Abuja,92,43816.0,0.784,0.799,1,3,8,0.326,0.879,0,0.0,0.5,1,630
AFRI_000157,31,Urban,Port Harcourt,336,4473.0,0.68,0.306,1,0,0,0.283,0.91,0,0.0,0.5,0,487
AFRI_000158,31,Urban,Kano,139,9562.0,0.912,0.657,1,0,2,0.2,0.872,0,0.0,0.5,0,596
AFRI_000159,33,Rural,Lagos,191,6500.0,0.905,0.895,1,2,6,0.28,0.366,0,0.0,0.5,1,632
AFRI_000160,43,Urban,Other,241,42743.0,0.997,0.995,1,2,11,0.187,0.663,0,0.0,0.5,1,863
AFRI_000161,19,Urban,Lagos,366,33846.0,0.718,1.0,0,1,0,0.233,0.73,0,0.0,0.5,1,588
AFRI_000162,27,Rural,Other,112,22074.0,0.805,0.556,1,1,0,0.493,0.671,0,0.0,0.5,0,411
AFRI_000163,38,Urban,Lagos,201,23801.0,0.615,0.763,1,0,0,0.198,0.735,0,0.0,0.5,0,441
AFRI_000164,24,Semi-Urban,Abuja,286,3451.0,0.929,0.847,0,1,2,0.21,0.868,0,0.0,0.5,1,653
AFRI_000165,33,Urban,Ibadan,109,43045.0,1.0,0.574,1,0,2,0.238,0.638,0,0.0,0.5,0,513
AFRI_000166,21,Urban,Abuja,166,27440.0,0.857,0.882,1,1,8,0.234,0.742,0,0.0,0.5,1,473
AFRI_000167,28,Semi-Urban,Other,417,29170.0,1.0,0.725,1,2,10,0.311,0.75,0,0.0,0.5,1,794
AFRI_000168,29,Urban,Ibadan,340,5171.0,0.915,0.856,1,1,8,0.196,0.873,0,0.0,0.5,1,699
AFRI_000169,35,Urban,Kano,82,14825.0,0.902,0.622,1,2,11,0.392,0.994,0,0.0,0.5,1,557
AFRI_000170,41,Urban,Port Harcourt,165,20228.0,0.688,0.468,0,2,11,0.168,0.793,0,0.0,0.5,1,617
AFRI_000171,41,Rural,Lagos,40,31440.0,0.77,0.67,0,2,10,0.082,0.374,0,0.0,0.5,0,463
AFRI_000172,27,Rural,Kano,144,17612.0,0.538,0.576,1,3,8,0.02,0.69,0,0.0,0.5,1,537
AFRI_000173,22,Semi-Urban,Kano,416,25064.0,0.383,0.82,1,1,2,0.28,0.716,0,0.0,0.5,0,474
AFRI_000174,28,Semi-Urban,Port Harcourt,404,26750.0,0.884,0.642,1,1,2,0.087,0.845,0,0.0,0.5,1,520
AFRI_000175,41,Semi-Urban,Kano,174,33291.0,0.534,0.699,1,3,10,0.21,0.758,0,0.0,0.5,1,649
AFRI_000176,38,Semi-Urban,Port Harcourt,14,36048.0,0.768,0.817,1,0,2,0.176,0.537,0,0.0,0.5,0,360
AFRI_000177,40,Urban,Enugu,111,24226.0,1.0,0.281,1,3,2,0.452,0.911,0,0.0,0.5,1,510
AFRI_000178,36,Semi-Urban,Port Harcourt,248,26449.0,0.801,0.936,1,0,1,0.195,0.878,0,0.0,0.5,1,528
AFRI_000179,38,Urban,Other,203,16003.0,0.944,0.727,1,3,1,0.427,0.891,0,0.0,0.5,1,670
AFRI_000180,18,Urban,Lagos,160,34274.0,0.843,0.833,1,2,1,0.362,0.668,0,0.0,0.5,0,463
AFRI_000181,21,Urban,Ibadan,377,14817.0,0.926,1.0,1,2,2,0.314,0.35,0,0.0,0.5,1,684
AFRI_000182,27,Urban,Ibadan,377,3685.0,0.603,0.644,1,1,6,0.135,0.407,0,0.0,0.5,0,519
AFRI_000183,39,Urban,Lagos,62,38137.0,0.624,0.355,0,1,2,0.251,0.548,0,0.0,0.5,0,336
AFRI_000184,27,Semi-Urban,Ibadan,73,4622.0,0.931,0.437,1,2,7,0.314,0.81,0,0.0,0.5,0,436
AFRI_000185,31,Rural,Port Harcourt,267,28886.0,1.0,0.542,1,2,6,0.222,0.526,0,0.0,0.5,1,611
AFRI_000186,19,Urban,Other,119,40963.0,0.56,0.655,1,3,2,0.297,0.76,0,0.0,0.5,0,287
AFRI_000187,44,Rural,Enugu,184,8762.0,0.726,0.892,1,2,0,0.368,0.786,0,0.0,0.5,1,719
AFRI_000188,22,Urban,Other,120,23188.0,0.676,0.896,1,0,3,0.183,0.443,0,0.0,0.5,0,520
AFRI_000189,19,Urban,Ibadan,348,39335.0,0.692,0.864,1,2,1,0.377,0.838,0,0.0,0.5,1,657
AFRI_000190,23,Semi-Urban,Enugu,168,31175.0,0.644,1.0,0,0,0,0.101,0.379,0,0.0,0.5,0,304
AFRI_000191,39,Semi-Urban,Lagos,147,2867.0,0.546,0.491,1,1,10,0.363,0.978,0,0.0,0.5,0,337
AFRI_000192,34,Semi-Urban,Enugu,205,38785.0,0.691,0.512,1,1,4,0.236,0.896,0,0.0,0.5,0,302
AFRI_000193,29,Urban,Kano,62,30341.0,0.796,0.906,1,2,7,0.236,0.837,0,0.0,0.5,1,348
AFRI_000194,21,Rural,Abuja,432,11428.0,0.581,0.657,1,1,9,0.023,0.739,0,0.0,0.5,1,780
AFRI_000195,28,Rural,Kano,47,35296.0,0.828,0.826,1,3,8,0.116,0.785,0,0.0,0.5,1,583
AFRI_000196,32,Urban,Lagos,340,16516.0,0.955,0.629,1,3,8,0.276,0.922,0,0.0,0.5,1,710
AFRI_000197,26,Urban,Ibadan,73,19580.0,0.889,0.908,1,3,4,0.126,0.834,0,0.0,0.5,1,577
AFRI_000198,31,Urban,Ibadan,241,25898.0,1.0,0.667,1,2,0,0.355,0.628,0,0.0,0.5,1,447
AFRI_000199,42,Rural,Enugu,163,2117.0,0.833,0.798,1,2,10,0.311,0.791,1,1.7,0.455,1,583
AFRI_000200,32,Urban,Port Harcourt,446,30497.0,0.792,0.415,1,1,8,0.276,0.814,0,0.0,0.5,1,464
AFRI_000201,28,Urban,Other,189,15493.0,0.835,0.837,0,1,8,0.326,0.669,0,0.0,0.5,1,616
AFRI_000202,42,Semi-Urban,Abuja,250,29142.0,0.735,0.532,1,2,3,0.369,0.346,0,0.0,0.5,1,502
AFRI_000203,18,Urban,Port Harcourt,384,43885.0,0.605,0.844,1,0,3,0.035,1.0,0,0.0,0.5,1,763
AFRI_000204,43,Rural,Lagos,118,16858.0,0.716,0.883,1,1,1,0.269,0.458,0,0.0,0.5,0,419
AFRI_000205,31,Urban,Other,343,14343.0,0.73,0.907,0,2,3,0.344,0.851,0,0.0,0.5,1,683
AFRI_000206,42,Semi-Urban,Ibadan,190,13788.0,0.659,0.662,0,2,8,0.142,0.735,0,0.0,0.5,1,464
AFRI_000207,25,Urban,Enugu,441,1939.0,0.929,0.644,0,1,11,0.302,0.492,0,0.0,0.5,1,736
AFRI_000208,40,Semi-Urban,Other,39,15650.0,0.905,0.808,0,1,10,0.305,0.567,0,0.0,0.5,0,514
AFRI_000209,33,Urban,Ibadan,306,34292.0,0.435,0.709,1,1,0,0.029,0.861,0,0.0,0.5,1,532
AFRI_000210,23,Semi-Urban,Port Harcourt,210,23637.0,0.859,0.64,1,2,6,0.318,0.696,0,0.0,0.5,1,646
AFRI_000211,42,Urban,Port Harcourt,260,3757.0,0.684,0.579,1,1,0,0.347,0.888,0,0.0,0.5,1,501
AFRI_000212,18,Urban,Abuja,290,23540.0,0.893,0.632,0,2,2,0.213,0.796,0,0.0,0.5,1,506
AFRI_000213,36,Semi-Urban,Abuja,177,3748.0,1.0,0.689,1,1,2,0.242,0.754,0,0.0,0.5,1,639
AFRI_000214,19,Rural,Enugu,390,23316.0,0.713,0.577,1,3,6,0.176,0.737,0,0.0,0.5,1,569
AFRI_000215,44,Urban,Other,106,20228.0,0.798,0.889,0,1,1,0.438,0.585,0,0.0,0.5,0,467
